cve,epss,percentile,date
CVE-2025-10769,0.00057,0.17822,2025-10-31
CVE-2025-10083,0.00055,0.17231,2025-10-31
CVE-2025-9923,0.00049,0.15097,2025-11-01
CVE-2025-9801,0.00089,0.26349,2025-11-01
CVE-2025-9800,0.00055,0.17336,2025-11-01
CVE-2025-9796,0.00039,0.11163,2025-11-01
CVE-2025-9794,0.00053,0.1654,2025-11-01
CVE-2025-9789,0.00048,0.14887,2025-11-01
CVE-2025-11031,0.00117,0.31447,2025-11-01
CVE-2025-10779,0.00106,0.29476,2025-11-01
CVE-2025-10769,0.00057,0.17888,2025-11-01
CVE-2025-10083,0.00055,0.17301,2025-11-01
CVE-2025-9923,0.00049,0.15111,2025-11-02
CVE-2025-9801,0.00089,0.26323,2025-11-02
CVE-2025-9800,0.00055,0.1733,2025-11-02
CVE-2025-9796,0.00039,0.11151,2025-11-02
CVE-2025-9794,0.00053,0.16532,2025-11-02
CVE-2025-9789,0.00048,0.14904,2025-11-02
CVE-2025-11031,0.00117,0.31426,2025-11-02
CVE-2025-10779,0.00106,0.29454,2025-11-02
CVE-2025-10769,0.00057,0.17882,2025-11-02
CVE-2025-10083,0.00055,0.17295,2025-11-02
CVE-2025-9923,0.00049,0.15064,2025-11-03
CVE-2025-9801,0.00089,0.26265,2025-11-03
CVE-2025-9800,0.00055,0.17286,2025-11-03
CVE-2025-9796,0.00039,0.11116,2025-11-03
CVE-2025-9794,0.00053,0.16497,2025-11-03
CVE-2025-9789,0.00048,0.1486,2025-11-03
CVE-2025-11031,0.00117,0.31403,2025-11-03
CVE-2025-10779,0.00106,0.29429,2025-11-03
CVE-2025-10769,0.00057,0.17837,2025-11-03
CVE-2025-10083,0.00055,0.17251,2025-11-03
CVE-2025-9923,0.00049,0.14968,2025-11-04
CVE-2025-9801,0.00089,0.26121,2025-11-04
CVE-2025-9800,0.00055,0.17179,2025-11-04
CVE-2025-9796,0.00039,0.11028,2025-11-04
CVE-2025-9794,0.00053,0.16398,2025-11-04
CVE-2025-9789,0.00048,0.14769,2025-11-04
CVE-2025-11031,0.00117,0.31265,2025-11-04
CVE-2025-10779,0.00106,0.29305,2025-11-04
CVE-2025-10769,0.00057,0.17739,2025-11-04
CVE-2025-10083,0.00055,0.17144,2025-11-04
CVE-2025-9923,0.00049,0.15,2025-11-05
CVE-2025-9801,0.00089,0.26095,2025-11-05
CVE-2025-9800,0.00055,0.17197,2025-11-05
CVE-2025-9796,0.00039,0.11051,2025-11-05
CVE-2025-9794,0.00053,0.16426,2025-11-05
CVE-2025-9789,0.00048,0.14801,2025-11-05
CVE-2025-11031,0.00117,0.31238,2025-11-05
CVE-2025-10779,0.00106,0.29273,2025-11-05
CVE-2025-10769,0.00057,0.17758,2025-11-05
CVE-2025-10083,0.00055,0.17162,2025-11-05
CVE-2025-9923,0.00049,0.15097,2025-11-06
CVE-2025-9801,0.00089,0.261,2025-11-06
CVE-2025-9800,0.00055,0.17169,2025-11-06
CVE-2025-9796,0.00039,0.11166,2025-11-06
CVE-2025-9794,0.00053,0.16514,2025-11-06
CVE-2025-9789,0.00048,0.149,2025-11-06
CVE-2025-11031,0.00117,0.31244,2025-11-06
CVE-2025-10779,0.00106,0.29295,2025-11-06
CVE-2025-10769,0.00057,0.17726,2025-11-06
CVE-2025-10083,0.00055,0.17135,2025-11-06
CVE-2025-9923,0.00049,0.15119,2025-11-07
CVE-2025-9801,0.00089,0.261,2025-11-07
CVE-2025-9800,0.00055,0.17187,2025-11-07
CVE-2025-9796,0.00039,0.11185,2025-11-07
CVE-2025-9794,0.00053,0.1653,2025-11-07
CVE-2025-9789,0.00048,0.1492,2025-11-07
CVE-2025-11031,0.00159,0.37377,2025-11-07
CVE-2025-10779,0.00106,0.2928,2025-11-07
CVE-2025-10769,0.00057,0.17749,2025-11-07
CVE-2025-10083,0.00055,0.17149,2025-11-07
CVE-2025-9923,0.00049,0.1513,2025-11-08
CVE-2025-9801,0.00103,0.28948,2025-11-08
CVE-2025-9800,0.00064,0.20002,2025-11-08
CVE-2025-9796,0.00045,0.13527,2025-11-08
CVE-2025-9794,0.00055,0.17261,2025-11-08
CVE-2025-9789,0.00051,0.15667,2025-11-08
CVE-2025-11031,0.00159,0.37377,2025-11-08
CVE-2025-10779,0.00106,0.29285,2025-11-08
CVE-2025-10769,0.00057,0.17751,2025-11-08
CVE-2025-10083,0.00055,0.17154,2025-11-08
CVE-2025-9923,0.00049,0.15108,2025-11-09
CVE-2025-9801,0.00103,0.28921,2025-11-09
CVE-2025-9800,0.00064,0.19976,2025-11-09
CVE-2025-9796,0.00045,0.13497,2025-11-09
CVE-2025-9794,0.00055,0.17235,2025-11-09
CVE-2025-9789,0.00051,0.15643,2025-11-09
CVE-2025-11031,0.00159,0.37362,2025-11-09
CVE-2025-10779,0.00106,0.29257,2025-11-09
CVE-2025-10769,0.00057,0.17725,2025-11-09
CVE-2025-10083,0.00055,0.17129,2025-11-09
CVE-2025-9923,0.00057,0.17602,2025-11-10
CVE-2025-9801,0.00103,0.28901,2025-11-10
CVE-2025-9800,0.00064,0.19933,2025-11-10
CVE-2025-9796,0.00045,0.13465,2025-11-10
CVE-2025-9794,0.00055,0.17198,2025-11-10
CVE-2025-9789,0.00051,0.15602,2025-11-10
CVE-2025-11031,0.00159,0.37326,2025-11-10
CVE-2025-10779,0.00106,0.29238,2025-11-10
CVE-2025-10769,0.00057,0.17691,2025-11-10
CVE-2025-10083,0.00055,0.17091,2025-11-10
CVE-2025-9923,0.00057,0.17623,2025-11-11
CVE-2025-9801,0.00103,0.28924,2025-11-11
CVE-2025-9800,0.00064,0.19941,2025-11-11
CVE-2025-9796,0.00045,0.13485,2025-11-11
CVE-2025-9794,0.00055,0.17222,2025-11-11
CVE-2025-9789,0.00051,0.15626,2025-11-11
CVE-2025-11031,0.00159,0.3735,2025-11-11
CVE-2025-10779,0.00106,0.29259,2025-11-11
CVE-2025-10769,0.00057,0.17713,2025-11-11
CVE-2025-10083,0.00055,0.17116,2025-11-11
CVE-2025-9923,0.00057,0.17661,2025-11-12
